objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,331,3.786078,6.92500764518957,6.8983064
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,360,3.665243,6.90469011787683,6.8899268
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,82,6.212692,6.77264229601465,6.8312264
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,73,6.252511,6.7788714569702,6.8155792
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,50,6.706322,6.75045901262558,6.8042244
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,32,6.33643,6.79659095809123,6.8161576
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,72,6.670649,6.77510181708072,6.8003862
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,62,6.68575,6.77269760640874,6.7987858
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,28,6.700622,6.78385776321451,6.8034112
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,32,6.69638,6.7861497292999,6.80268
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,38,6.67213,6.77389511630538,6.7981374
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,27,6.707086,6.76548817358102,6.7975146
