objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,342,3.937084,7.00914581776498,6.996152
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,343,3.913572,6.97777769103895,6.936074
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,75,6.279171,6.88107791516661,6.8712366
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,78,6.283925,6.88210322060301,6.8618872
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,72,6.722478,6.83644134337341,6.8505852
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,41,6.32425,6.86856487282656,6.8687372
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,57,6.747657,6.83517285044139,6.8691882
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,57,6.748082,6.82833480009666,6.8381776
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,27,6.759743,6.84206856428487,6.8598822
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,21,6.777371,6.83050567994588,6.8694032
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,27,6.753633,6.81163157136504,6.8601836
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,32,6.746656,6.82120529474013,6.850959
