objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,290,2.092932,7.16779125950692,7.3377832
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,312,1.996391,7.09857789868743,7.2342446
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,61,5.111943,7.02080165509144,7.1434142
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,59,5.158182,7.03381950187365,7.1074384
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,43,6.521796,6.95354849525328,7.0816574
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,24,5.690652,7.05275230202938,7.1960684
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,39,6.56703,6.96024432854467,6.9975636
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,34,6.601305,6.97565513553804,7.0185596
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,15,6.704318,6.9481101942941,7.0928796
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,22,6.627619,6.97414663832099,7.0191122
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,22,6.535784,6.97773347402839,6.9898558
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,25,6.51408,6.97364315668298,7.0726568
