objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.001,gbtree,rmse,0.001,20,1,1,1,hist,4989,0.514627,7.230389
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,450,5.033755,6.931085
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,500,4.96632,6.921991
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,138,6.429217,6.874399
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,121,6.448141,6.866908
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,152,6.624332,6.875165
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,51,6.493512,6.872156
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,177,6.616531,6.871582
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,220,6.602441,6.871139
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,111,6.604064,6.875494
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,80,6.624457,6.868464
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,86,6.619432,6.868434
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,116,6.602915,6.867286
