objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,498,4.976708,6.932045
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,532,4.911751,6.916981
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,114,6.456604,6.864973
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,116,6.452765,6.86547
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,172,6.617477,6.872519
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,68,6.449084,6.870226
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,227,6.600744,6.873935
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,189,6.613846,6.869944
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,50,6.646895,6.882441
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,139,6.593929,6.862387
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,214,6.559324,6.871641
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,81,6.622783,6.872685
