objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.001,gbtree,rmse,0.001,20,1,1,1,hist,3903,0.711108,7.333557
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,355,4.468794,7.172585
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,327,4.586419,7.16447
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,71,6.500932,7.089836
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,65,6.536967,7.09993
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,71,6.758742,7.096752
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,36,6.516747,7.115898
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,58,6.769149,7.085168
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,97,6.736988,7.068959
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,30,6.774246,7.092292
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,30,6.772728,7.080045
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,30,6.770456,7.096474
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,41,6.754323,7.081727
