objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,295,2.227533,7.18215056559119,7.3973112
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,301,2.292729,7.09911377931952,7.3146118
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,55,5.388861,7.00009277844867,7.1795288
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,56,5.361509,7.01127914890088,7.182813
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,32,6.666088,6.93501393139149,7.0664092
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,30,5.634064,6.97848398591806,7.2079474
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,41,6.572237,6.90982903846339,7.0108146
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,43,6.556512,6.927836781538,7.0016826
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,17,6.725099,6.95580926295165,7.1043112
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,15,6.755276,6.8810840771091,7.0878024
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,19,6.657531,6.97308266230017,7.068052
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,20,6.63876,6.9570423928594,7.0900324
